Chidamber-Kemerer metrics,Wed, 1 May 2024 02:22:47 GMT-05:00
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.apache.pdfbox.contentstream.operator.text.MoveText,11,2,1,0,13,6
org.apache.pdfbox.contentstream.operator.text.MoveTextSetLeading,11,2,2,0,10,4
org.apache.pdfbox.contentstream.operator.text.NextLine,11,2,2,0,9,2
org.apache.pdfbox.contentstream.operator.text.SetCharSpacing,12,2,2,0,10,4
org.apache.pdfbox.contentstream.operator.text.SetFontAndSize,15,2,2,0,15,6
org.apache.pdfbox.contentstream.operator.text.SetTextHorizontalScaling,12,2,2,0,9,4
org.apache.pdfbox.contentstream.operator.text.SetTextLeading,12,2,2,0,9,4
org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode,14,2,2,0,11,5
org.apache.pdfbox.contentstream.operator.text.SetTextRise,11,2,2,0,8,4
org.apache.pdfbox.contentstream.operator.text.SetWordSpacing,11,2,2,0,8,4
org.apache.pdfbox.contentstream.operator.text.ShowText,8,2,2,0,7,5
org.apache.pdfbox.contentstream.operator.text.ShowTextAdjusted,8,2,2,0,6,5
org.apache.pdfbox.contentstream.operator.text.ShowTextLine,7,2,2,0,3,2
org.apache.pdfbox.contentstream.operator.text.ShowTextLineAndSpace,8,2,2,0,6,3
org.apache.pdfbox.cos.COSArray,237,2,3,0,67,67
org.apache.pdfbox.cos.COSBase,322,1,3,9,5,4
org.apache.pdfbox.cos.COSBoolean,24,2,3,0,12,11
org.apache.pdfbox.cos.COSDictionary,450,2,4,2,154,157
org.apache.pdfbox.cos.COSDictionaryTest,3,1,1,0,6,1
org.apache.pdfbox.cos.COSDocument,75,2,9,1,81,68
org.apache.pdfbox.cos.COSFloat,55,3,2,0,36,22
org.apache.pdfbox.cos.COSInputStream,10,3,2,0,21,11
org.apache.pdfbox.cos.COSInteger,57,3,5,0,17,16
org.apache.pdfbox.cos.COSName,446,2,3,0,25,18
org.apache.pdfbox.cos.COSNull,22,2,2,0,6,4
org.apache.pdfbox.cos.COSNumber,90,2,5,2,15,12
org.apache.pdfbox.cos.COSObject,57,2,5,0,20,19
org.apache.pdfbox.cos.COSObjectKey,21,1,1,0,13,14
org.apache.pdfbox.cos.COSObjectKeyTest,1,1,3,0,9,3
org.apache.pdfbox.cos.COSOutputStream,8,3,1,0,25,14
org.apache.pdfbox.cos.COSStream,116,3,2,0,54,42
org.apache.pdfbox.cos.COSString,71,2,4,0,40,25
org.apache.pdfbox.cos.COSUpdateInfo,n/a,n/a,n/a,n/a,2,n/a
org.apache.pdfbox.cos.ICOSVisitor,n/a,n/a,n/a,n/a,10,n/a
org.apache.pdfbox.cos.PDFDocEncoding,2,1,1,0,16,13
org.apache.pdfbox.cos.PDFDocEncodingTest,1,1,2,0,10,4
org.apache.pdfbox.cos.TestCOSBase,8,3,3,2,12,4
org.apache.pdfbox.cos.TestCOSFloat,12,5,13,0,34,18
org.apache.pdfbox.cos.TestCOSFloat.AcceptTester,5,2,1,0,15,1
org.apache.pdfbox.cos.TestCOSFloat.BaseTester,8,1,1,8,8,4
