,Class,DIT,LCOM,RFC,WMC,Version
5784,org.apache.fontbox.ttf.VerticalOriginTable,2.0,1.0,12,6.0,2.0.30
5785,org.apache.fontbox.ttf.WGL4Names,1.0,0.0,3,2.0,2.0.30
5786,org.apache.fontbox.type1.DamagedFontException,4.0,0.0,2,1.0,2.0.30
5787,org.apache.fontbox.type1.Token,1.0,3.0,13,11.0,2.0.30
5788,org.apache.fontbox.type1.Type1Font,1.0,36.0,66,47.0,2.0.30
5789,org.apache.fontbox.type1.Type1Lexer,1.0,1.0,42,67.0,2.0.30
5790,org.apache.fontbox.type1.Type1LexerTest,1.0,1.0,23,9.0,2.0.30
5791,org.apache.fontbox.type1.Type1Parser,1.0,1.0,53,146.0,2.0.30
5792,org.apache.fontbox.util.BoundingBox,1.0,1.0,17,15.0,2.0.30
5793,org.apache.fontbox.util.Charsets,1.0,0.0,2,1.0,2.0.30
5794,org.apache.fontbox.util.autodetect.FontFileFinder,1.0,1.0,21,20.0,2.0.30
5795,org.apache.fontbox.util.autodetect.MacFontDirFinder,2.0,1.0,2,1.0,2.0.30
5796,org.apache.fontbox.util.autodetect.NativeFontDirFinder,1.0,1.0,7,4.0,2.0.30
5797,org.apache.fontbox.util.autodetect.OS400FontDirFinder,2.0,1.0,2,1.0,2.0.30
5798,org.apache.fontbox.util.autodetect.UnixFontDirFinder,2.0,1.0,2,1.0,2.0.30
5799,org.apache.fontbox.util.autodetect.WindowsFontDirFinder,1.0,1.0,21,15.0,2.0.30
5800,org.apache.pdfbox.ParallelParameterized,5.0,0.0,6,2.0,2.0.30
5801,org.apache.pdfbox.ParallelParameterized.FixedThreadPoolScheduler,1.0,1.0,13,4.0,2.0.30
5802,org.apache.pdfbox.contentstream.PDFGraphicsStreamEngine,2.0,14.0,16,2.0,2.0.30
5803,org.apache.pdfbox.contentstream.PDFStreamEngine,1.0,5.0,177,93.0,2.0.30
5804,org.apache.pdfbox.contentstream.operator.DrawObject,2.0,2.0,15,8.0,2.0.30
5805,org.apache.pdfbox.contentstream.operator.MissingOperandException,4.0,0.0,3,1.0,2.0.30
5806,org.apache.pdfbox.contentstream.operator.Operator,1.0,4.0,14,12.0,2.0.30
5807,org.apache.pdfbox.contentstream.operator.OperatorName,1.0,0.0,1,1.0,2.0.30
5808,org.apache.pdfbox.contentstream.operator.OperatorProcessor,1.0,4.0,7,6.0,2.0.30
5809,org.apache.pdfbox.contentstream.operator.color.SetColor,2.0,2.0,11,4.0,2.0.30
5810,org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColor,3.0,2.0,8,4.0,2.0.30
5811,org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColorN,4.0,1.0,1,1.0,2.0.30
5812,org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColorSpace,2.0,2.0,10,4.0,2.0.30
5813,org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceCMYKColor,4.0,2.0,7,2.0,2.0.30
5814,org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceGrayColor,4.0,2.0,7,2.0,2.0.30
5815,org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceRGBColor,4.0,2.0,7,2.0,2.0.30
5816,org.apache.pdfbox.contentstream.operator.color.SetStrokingColor,3.0,2.0,8,4.0,2.0.30
5817,org.apache.pdfbox.contentstream.operator.color.SetStrokingColorN,4.0,1.0,1,1.0,2.0.30
5818,org.apache.pdfbox.contentstream.operator.color.SetStrokingColorSpace,2.0,2.0,10,4.0,2.0.30
5819,org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceCMYKColor,4.0,2.0,7,2.0,2.0.30
5820,org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceGrayColor,4.0,2.0,7,2.0,2.0.30
5821,org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceRGBColor,4.0,2.0,7,2.0,2.0.30
5822,org.apache.pdfbox.contentstream.operator.graphics.AppendRectangleToPath,3.0,2.0,9,4.0,2.0.30
5823,org.apache.pdfbox.contentstream.operator.graphics.BeginInlineImage,3.0,2.0,7,3.0,2.0.30
5824,org.apache.pdfbox.contentstream.operator.graphics.ClipEvenOddRule,3.0,2.0,3,2.0,2.0.30
5825,org.apache.pdfbox.contentstream.operator.graphics.ClipNonZeroRule,3.0,2.0,3,2.0,2.0.30
5826,org.apache.pdfbox.contentstream.operator.graphics.CloseAndStrokePath,3.0,2.0,3,2.0,2.0.30
5827,org.apache.pdfbox.contentstream.operator.graphics.CloseFillEvenOddAndStrokePath,3.0,2.0,3,2.0,2.0.30
5828,org.apache.pdfbox.contentstream.operator.graphics.CloseFillNonZeroAndStrokePath,3.0,2.0,3,2.0,2.0.30
5829,org.apache.pdfbox.contentstream.operator.graphics.ClosePath,3.0,2.0,6,3.0,2.0.30
5830,org.apache.pdfbox.contentstream.operator.graphics.CurveTo,3.0,2.0,13,5.0,2.0.30
5831,org.apache.pdfbox.contentstream.operator.graphics.CurveToReplicateFinalPoint,3.0,2.0,9,4.0,2.0.30
5832,org.apache.pdfbox.contentstream.operator.graphics.CurveToReplicateInitialPoint,3.0,2.0,15,5.0,2.0.30
5833,org.apache.pdfbox.contentstream.operator.graphics.DrawObject,3.0,2.0,17,9.0,2.0.30
5834,org.apache.pdfbox.contentstream.operator.graphics.EndPath,3.0,2.0,3,2.0,2.0.30
5835,org.apache.pdfbox.contentstream.operator.graphics.FillEvenOddAndStrokePath,3.0,2.0,3,2.0,2.0.30
5836,org.apache.pdfbox.contentstream.operator.graphics.FillEvenOddRule,3.0,2.0,3,2.0,2.0.30
5837,org.apache.pdfbox.contentstream.operator.graphics.FillNonZeroAndStrokePath,3.0,2.0,3,2.0,2.0.30
5838,org.apache.pdfbox.contentstream.operator.graphics.FillNonZeroRule,3.0,2.0,3,2.0,2.0.30
5839,org.apache.pdfbox.contentstream.operator.graphics.GraphicsOperatorProcessor,2.0,1.0,2,1.0,2.0.30
5840,org.apache.pdfbox.contentstream.operator.graphics.LegacyFillNonZeroRule,4.0,1.0,1,1.0,2.0.30
5841,org.apache.pdfbox.contentstream.operator.graphics.LineTo,3.0,2.0,12,6.0,2.0.30
5842,org.apache.pdfbox.contentstream.operator.graphics.MoveTo,3.0,2.0,8,5.0,2.0.30
5843,org.apache.pdfbox.contentstream.operator.graphics.ShadingFill,3.0,2.0,6,4.0,2.0.30
5844,org.apache.pdfbox.contentstream.operator.graphics.StrokePath,3.0,2.0,3,2.0,2.0.30
